recommendation_id,prediction_id,warning_id,recommended_function,recommendation_text,priority,status,created_at
REC-0001,PRD-00001,WRN-0001,Reskrim,"Perkuat penyelidikan dan pengungkapan di Senayan, Kebayoran Baru pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00001 berskor 76/100 dengan keyakinan 75%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-12-26 15:10
REC-0002,PRD-00003,WRN-0002,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Grogol Utara, Kebayoran Lama pada 12:00-18:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00003 berskor 89/100 dengan keyakinan 95%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Rejected,2025-12-02 15:10
REC-0003,PRD-00004,WRN-0003,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Jagakarsa pada 06:00-12:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00004 berskor 73/100 dengan keyakinan 64%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Modified,2025-12-09 15:10
REC-0004,PRD-00006,WRN-0004,Reskrim,"Perkuat penyelidikan dan pengungkapan di Manggarai, Tebet pada 00:00-06:00 WIB terhadap CURAT. Dasar: prediksi PRD-00006 berskor 73/100 dengan keyakinan 70%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-12-01 15:10
REC-0005,PRD-00007,WRN-0005,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Tegal Parang, Mampang Prapatan pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00007 berskor 79/100 dengan keyakinan 78%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-12-10 15:10
REC-0006,PRD-00011,WRN-0006,Reskrim,"Perkuat penyelidikan dan pengungkapan di Grogol Utara, Kebayoran Lama pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00011 berskor 75/100 dengan keyakinan 81%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-10-20 15:10
REC-0007,PRD-00013,WRN-0007,Binmas,"Perkuat sambang dan penyuluhan warga di Kalibata, Pancoran pada 00:00-06:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00013 berskor 72/100 dengan keyakinan 81%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-10-13 15:10
REC-0008,PRD-00015,WRN-0008,Samapta,"Tingkatkan patroli dan penjagaan di Pejaten Barat, Pasar Minggu pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00015 berskor 81/100 dengan keyakinan 80%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-12-31 15:10
REC-0009,PRD-00020,WRN-0009,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Kramat Pela, Kebayoran Baru pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00020 berskor 81/100 dengan keyakinan 81%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Modified,2025-10-14 15:10
REC-0010,PRD-00021,WRN-0010,Binmas,"Perkuat sambang dan penyuluhan warga di Kramat Pela, Kebayoran Baru pada 12:00-18:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00021 berskor 84/100 dengan keyakinan 80%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Modified,2025-12-11 15:10
REC-0011,PRD-00023,WRN-0011,Reskrim,"Perkuat penyelidikan dan pengungkapan di Menteng Dalam, Tebet pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00023 berskor 88/100 dengan keyakinan 77%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Pending Review,2025-11-21 15:10
REC-0012,PRD-00027,WRN-0012,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Duren Tiga, Pancoran pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00027 berskor 72/100 dengan keyakinan 68%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-12-20 15:10
