report_id,reported_at,incident_time,category,description,grid_id,latitude,longitude,location_text,urgency_score,verification_score,status
RPT-0001,2024-02-22T10:22+07:00,2024-02-21T20:07+07:00,Pencurian Kendaraan,Kunci kendaraan tampak dirusak di parkiran belakang pertokoan.,JKS-029,-6.219467,106.838196,"Sekitar Menteng Atas, di deretan pertokoan",53,62,Selesai
RPT-0002,2025-03-18T00:58+07:00,2025-03-16T19:56+07:00,Pencurian Kendaraan,Sepeda motor dibawa pergi dari halaman rumah tanpa kunci ganda.,JKS-013,-6.274612,106.831320,"Sekitar Pejaten Barat, dekat halte",85,55,Ditangani
RPT-0003,2023-11-13T17:15+07:00,2023-11-12T20:09+07:00,Tawuran dan Perkelahian Kelompok,Dua kelompok saling lempar batu di ujung gang menjelang tengah malam.,JKS-013,-6.276077,106.834638,"Sekitar Pejaten Barat, dekat halte",92,74,Ditangani
RPT-0004,2023-11-19T04:41+07:00,2023-11-18T17:36+07:00,Kejahatan Jalanan,Perampasan telepon genggam di pinggir jalan; pelaku langsung melarikan diri.,JKS-022,-6.240388,106.835394,"Sekitar Menteng Dalam, di deretan pertokoan",71,50,Diteruskan
RPT-0005,2024-05-01T21:56+07:00,2024-05-01T04:50+07:00,Pencurian Kendaraan,Sepeda motor dibawa pergi dari halaman rumah tanpa kunci ganda.,JKS-037,-6.268928,106.764521,"Sekitar Bintaro, dekat pasar",71,42,Diteruskan
RPT-0006,2025-08-07T03:33+07:00,2025-08-05T17:02+07:00,Tawuran dan Perkelahian Kelompok,Dua kelompok saling lempar batu di ujung gang menjelang tengah malam.,JKS-027,-6.217793,106.828657,"Sekitar Karet Kuningan, di jalan utama",61,40,Diteruskan
RPT-0007,2025-12-21T00:51+07:00,2025-12-20T15:56+07:00,Gangguan Lalu Lintas,Parkir liar menutup separuh badan jalan pada jam sibuk.,JKS-030,-6.335330,106.820530,"Sekitar Jagakarsa, dekat pasar",15,44,Diverifikasi
RPT-0008,2025-04-10T10:34+07:00,2025-04-09T20:27+07:00,Keramaian Meresahkan,Miras dikonsumsi terbuka di area parkir yang sepi pengawasan.,JKS-023,-6.209868,106.848434,"Sekitar Manggarai, dekat pasar",44,60,Diteruskan
RPT-0009,2024-07-19T19:28+07:00,2024-07-18T19:49+07:00,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-008,-6.231146,106.781213,"Sekitar Grogol Utara, di kolong jalan layang",66,78,Ditangani
RPT-0010,2025-08-26T05:07+07:00,2025-08-25T07:12+07:00,Tawuran dan Perkelahian Kelompok,Perkelahian kelompok pecah setelah keributan di lapangan terbuka.,JKS-032,-6.310888,106.837451,"Sekitar Lenteng Agung, di deretan pertokoan",90,43,Diverifikasi
RPT-0011,2025-12-26T02:56+07:00,2025-12-25T19:17+07:00,Keramaian Meresahkan,Miras dikonsumsi terbuka di area parkir yang sepi pengawasan.,JKS-035,-6.230363,106.752799,"Sekitar Petukangan Utara, dekat taman",42,40,Diverifikasi
