public_alert_id,warning_id,severity,threat_type,area_text,time_window,window_start,window_end,status,public_message
PAL-0001,WRN-0001,Warning,CURAT,Kecamatan Kebayoran Baru,18:00-23:59,2025-12-26T18:00+07:00,2025-12-27T00:00+07:00,Resolved,"Imbauan kewaspadaan pencurian dengan pemberatan di wilayah Kecamatan Kebayoran Baru pada pukul 18:00-23:59 WIB. Pastikan pintu dan pagar terkunci, aktifkan kembali ronda lingkungan, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0002,WRN-0003,Warning,CURANMOR,Kecamatan Jagakarsa,06:00-12:00,2025-12-12T06:00+07:00,2025-12-12T12:00+07:00,Resolved,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Jagakarsa pada pukul 06:00-12:00 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0003,WRN-0008,Warning,CURANMOR,Kecamatan Pasar Minggu,18:00-23:59,2026-01-07T18:00+07:00,2026-01-08T00:00+07:00,Resolved,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Pasar Minggu pada pukul 18:00-23:59 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0004,WRN-0012,Warning,CURANMOR,Kecamatan Pancoran,18:00-23:59,2025-12-20T18:00+07:00,2025-12-21T00:00+07:00,Expired,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Pancoran pada pukul 18:00-23:59 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0005,WRN-0015,Warning,CURANMOR,Kecamatan Mampang Prapatan,12:00-18:00,2025-12-26T12:00+07:00,2025-12-26T18:00+07:00,Expired,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Mampang Prapatan pada pukul 12:00-18:00 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0006,WRN-0027,Warning,CURANMOR,Kecamatan Setiabudi,18:00-23:59,2025-12-11T18:00+07:00,2025-12-12T00:00+07:00,Expired,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Setiabudi pada pukul 18:00-23:59 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0007,WRN-0028,Warning,CURAT,Kecamatan Jagakarsa,18:00-23:59,2025-12-28T18:00+07:00,2025-12-29T00:00+07:00,Expired,"Imbauan kewaspadaan pencurian dengan pemberatan di wilayah Kecamatan Jagakarsa pada pukul 18:00-23:59 WIB. Pastikan pintu dan pagar terkunci, aktifkan kembali ronda lingkungan, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0008,WRN-0031,Critical,CURAS,Kecamatan Kebayoran Baru,18:00-23:59,2025-12-25T18:00+07:00,2025-12-26T00:00+07:00,Resolved,"Imbauan kewaspadaan pencurian dengan kekerasan di wilayah Kecamatan Kebayoran Baru pada pukul 18:00-23:59 WIB. Hindari jalur sepi dan gelap, jangan menampakkan barang berharga di jalan, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0009,WRN-0034,Warning,CURANMOR,Kecamatan Pancoran,18:00-23:59,2025-12-17T18:00+07:00,2025-12-18T00:00+07:00,Expired,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Pancoran pada pukul 18:00-23:59 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0010,WRN-0035,Critical,CURAS,Kecamatan Tebet,18:00-23:59,2025-12-12T18:00+07:00,2025-12-13T00:00+07:00,Expired,"Imbauan kewaspadaan pencurian dengan kekerasan di wilayah Kecamatan Tebet pada pukul 18:00-23:59 WIB. Hindari jalur sepi dan gelap, jangan menampakkan barang berharga di jalan, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0011,WRN-0040,Warning,CURANMOR,Kecamatan Mampang Prapatan,18:00-23:59,2025-12-30T18:00+07:00,2025-12-31T00:00+07:00,Resolved,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Mampang Prapatan pada pukul 18:00-23:59 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
